# Yale Bright Star Catalogue, 5th revised ed. (Hoffleit & Warren 1991, CDS V/50), stars to V=5.0.
# HR,RA J2000 deg,Dec J2000 deg,Vmag
3,1.3337,-5.7075,4.61
15,2.0971,29.0906,2.06
21,2.2946,59.1497,2.27
25,2.3529,-45.7475,3.88
33,2.8163,-15.4681,4.89
39,3.3092,15.1836,2.83
45,3.6508,20.2067,4.80
48,3.6600,-18.9328,4.44
63,4.2729,38.6817,4.61
68,4.5821,36.7853,4.52
74,4.8571,-8.8239,3.56
77,5.0179,-64.8747,4.23
98,6.4379,-77.2542,2.80
99,6.5708,-42.3061,2.39
100,6.5508,-43.6800,3.94
105,6.9821,-33.0072,4.81
123,7.9433,54.5222,4.73
125,7.8542,-48.8036,4.77
126,7.8863,-62.9581,4.37
127,7.8900,-62.9658,4.54
130,8.2500,62.9317,4.16
153,9.2429,53.8969,3.66
154,9.2204,33.7194,4.36
163,9.6387,29.3117,4.37
165,9.8321,30.8608,3.27
168,10.1271,56.5372,2.23
179,10.5162,50.5125,4.80
180,10.3317,-46.0850,4.59
184,10.8671,47.0247,4.94
188,10.8975,-17.9867,2.04
191,10.8383,-57.4631,4.36
193,11.1812,48.2844,4.54
194,11.0475,-10.6094,4.76
215,11.8346,24.2672,4.06
219,12.2750,57.8158,3.44
223,12.2088,50.9683,4.89
224,12.1708,7.5850,4.43
226,12.4533,41.0789,4.53
244,13.2671,61.1242,4.82
248,13.2521,-1.1442,4.77
253,13.7504,58.9728,4.83
264,14.1771,60.7167,2.47
265,14.1658,59.1811,4.63
269,14.1883,38.4994,3.87
271,14.3017,23.4175,4.42
280,14.6517,-29.3575,4.31
285,17.1863,86.2569,4.25
294,15.7358,7.8900,4.28
322,16.5208,-46.7186,3.31
334,17.1475,-10.1822,3.45
335,17.3758,47.2419,4.25
337,17.4329,35.6206,2.06
338,17.0963,-55.2458,3.92
343,17.7758,55.1497,4.33
351,17.8633,21.0347,4.66
352,17.9150,30.0897,4.51
360,18.4371,24.5836,4.65
370,18.7963,-45.5314,4.96
377,18.9421,-68.8761,4.86
382,20.0204,58.2317,4.98
383,19.8667,27.2642,4.76
390,20.5850,45.5289,4.88
399,21.4833,68.1300,4.74
402,21.0058,-8.1833,3.60
403,21.4542,60.2353,2.68
412,21.4050,-14.5989,4.90
417,21.9142,45.4067,4.83
424,37.9529,89.2642,2.02
429,22.0913,-43.3183,3.41
434,22.5463,6.1439,4.84
437,22.8708,15.3458,3.62
440,22.8129,-49.0728,3.95
442,23.4829,59.2319,4.71
458,24.1992,41.4056,4.09
464,24.4983,48.6283,3.57
469,24.8375,44.3861,4.98
472,24.4288,-57.2367,0.46
477,25.1450,40.5769,4.94
483,25.4467,42.6136,4.95
489,25.3579,5.4875,4.44
496,25.9150,50.6886,4.07
500,25.6812,-3.6903,4.99
509,26.0171,-15.9375,3.50
510,26.3483,9.1578,4.26
531,27.3962,-10.6864,4.67
539,27.8650,-10.3350,3.73
542,28.5987,63.6700,3.38
544,28.2704,29.5789,3.41
545,28.3825,19.2958,4.83
546,28.3825,19.2936,4.75
548,29.0000,68.6853,4.99
549,28.3887,3.1875,4.62
553,28.6600,20.8081,2.64
555,28.4117,-46.3025,4.41
565,29.1675,-22.5269,4.85
566,28.9896,-51.6089,3.70
569,29.4821,23.5961,4.79
570,28.7337,-67.6472,4.69
574,29.2917,-47.3850,4.83
575,30.4892,70.9069,4.54
580,30.8587,72.4214,3.98
585,30.0013,-21.0778,4.00
591,29.6925,-61.5697,2.86
596,30.5117,2.7636,4.33
603,30.9750,42.3297,2.26
604,30.9779,42.3308,4.84
612,31.1225,-29.2969,4.69
617,31.7933,23.4625,2.00
620,32.1221,37.8592,4.82
622,32.3858,34.9872,3.00
623,32.3554,25.9397,4.98
642,33.0929,30.3031,4.94
643,33.3054,44.2317,4.83
649,33.2500,8.8467,4.37
660,34.2633,34.2242,4.87
664,34.3287,33.8472,4.01
674,34.1275,-51.5122,3.56
681,34.8362,-2.9775,3.04
699,36.4058,50.2786,4.71
705,35.4371,-68.6594,4.09
707,37.2667,67.4025,4.52
708,36.4875,-12.2906,4.89
718,37.0396,8.4600,4.28
721,36.7463,-47.7039,4.25
740,38.0217,-15.2447,4.75
749,38.4612,-28.2325,4.90
754,38.9688,5.5933,4.86
779,39.8708,0.3286,4.07
781,39.8908,-11.8722,4.84
788,40.5621,40.1939,4.91
789,39.9500,-42.8917,4.75
794,40.1667,-39.8556,4.11
799,41.0500,49.2283,4.12
801,40.8629,27.7072,4.66
804,40.8250,3.2358,3.47
806,39.8975,-68.2669,4.11
811,41.0308,-13.8586,4.25
813,41.2354,10.1142,4.27
818,41.2758,-18.5725,4.47
824,41.9771,29.2472,4.51
834,42.6742,55.8956,3.76
837,41.3858,-67.6167,4.84
838,42.4958,27.2606,3.63
840,42.6463,38.3186,4.23
841,42.2725,-32.4058,4.46
843,42.8783,35.0597,4.53
850,42.7596,-21.0042,4.75
854,43.5646,52.7625,3.95
868,43.4704,-49.8903,4.00
872,42.6187,-75.0669,4.75
874,44.1071,-8.8981,3.89
879,44.6904,39.6628,4.70
882,44.7654,35.1831,4.93
887,44.8029,21.3403,4.63
888,44.8029,21.3403,4.63
896,44.9288,8.9075,4.70
897,44.5654,-40.3047,3.24
898,44.5679,-40.3044,4.35
909,44.6992,-64.0714,4.99
911,45.5700,4.0897,2.53
915,46.1992,53.5064,2.93
918,46.3850,56.7058,4.76
919,45.5979,-23.6244,4.09
921,46.2942,38.8403,3.39
932,47.9846,74.3936,4.87
936,47.0421,40.9556,2.12
937,47.2667,49.6133,4.05
941,47.3742,44.8572,3.80
947,47.8225,39.6117,4.63
951,47.9075,19.7267,4.35
963,48.0179,-28.9869,3.87
972,48.7254,21.0444,4.89
984,48.9583,-8.8197,4.80
985,49.9975,65.6522,4.84
991,49.6825,34.2228,4.82
994,49.5921,-22.5114,4.88
996,49.8404,3.3703,4.83
999,50.0850,29.0483,4.47
1002,50.3604,43.3294,4.95
1003,49.8792,-21.7578,3.69
1008,49.9821,-43.0697,4.27
1017,51.0808,49.8611,1.79
1030,51.2033,9.0289,3.60
1034,52.0129,49.0628,4.98
1035,52.2671,59.9403,4.21
1038,51.7925,9.7328,3.74
1040,52.4787,58.8786,4.54
1044,52.3421,49.5089,4.67
1052,52.6438,47.9953,4.36
1066,52.7183,12.9367,4.11
1070,52.6546,-5.0753,4.73
1083,52.3446,-62.9375,4.72
1084,53.2325,-9.4583,3.73
1087,54.1225,48.1928,4.23
1088,53.4471,-21.6328,4.27
1101,54.2183,0.4017,4.28
1106,54.2737,-40.2747,4.58
1122,55.7313,47.7875,3.01
1123,55.5938,33.9650,4.97
1129,56.5096,63.3450,4.80
1131,56.0796,32.2883,3.83
1134,55.5621,-31.9383,5.00
1135,56.2983,42.5786,3.77
1136,55.8121,-9.7633,3.54
1142,56.2188,24.1133,3.70
1143,55.7088,-37.3136,4.59
1145,56.3021,24.4672,4.30
1148,57.5896,71.3322,4.63
1149,56.4567,24.3678,3.87
1155,57.3800,65.5261,4.47
1156,56.5817,23.9483,4.18
1162,56.5354,-12.1017,4.42
1165,56.8713,24.1050,2.87
1173,56.7121,-23.2497,4.23
1175,56.0500,-64.8069,3.85
1178,57.2904,24.0533,3.63
1190,57.1496,-37.6206,4.73
1195,57.3637,-36.2003,4.17
1203,58.5329,31.8836,2.85
1205,59.2846,61.1089,5.00
1208,56.8096,-74.2389,3.24
1212,58.5729,-2.9547,4.79
1213,58.4275,-24.6125,4.65
1220,59.4633,40.0103,2.89
1228,59.7413,35.7911,4.04
1231,59.5075,-13.5086,2.95
1239,60.1700,12.4903,3.47
1240,59.9813,-24.0164,4.66
1247,59.6863,-61.4003,4.56
1251,60.7892,5.9892,3.91
1256,61.1737,22.0819,4.36
1261,61.6458,50.3514,4.29
1264,60.2242,-62.1594,4.51
1266,60.3258,-61.0789,4.97
1273,62.1654,47.7125,4.04
1298,62.9663,-6.8375,4.04
1302,62.7108,-41.9936,4.93
1303,63.7246,48.4094,4.14
1306,63.7221,40.4836,4.71
1311,63.4850,9.2636,4.84
1318,63.5988,-10.2564,4.87
1320,63.8838,8.8922,4.29
1324,64.5608,50.2956,4.61
1325,63.8179,-7.6528,4.43
1326,63.5004,-42.2944,3.86
1329,64.3150,20.5786,4.94
1336,63.6062,-62.4739,3.35
1338,64.0067,-51.4867,4.25
1343,65.1025,34.5667,4.93
1346,64.9483,15.6275,3.65
1347,64.4737,-33.7983,3.56
1348,65.0888,27.3508,4.95
1350,65.3883,46.4989,4.85
1355,64.1204,-59.3019,4.44
1373,65.7338,17.5425,3.76
1380,66.0242,17.4439,4.80
1387,66.3421,22.2939,4.22
